_id,name,brand,manufacturer,PriorityIndex,category,sp,margin,margin%,mrp,DealerPrice,discount,gst,weight,availability,description,imageUrl,productImageUrl
ObjectId(5ffb514e80ef0812f27081e4),Amul Choco Cracker CHOCOLATE,Amul,Kaira Coop Milk Producers (Anand),10,"Biscuits, Snacks & Chocolates",120,30,20,150,120,20,18,150g,Y,,,https://images-na.ssl-images-amazon.com/images/I/81vu2MfH88L._SL1500_.jpg
ObjectId(5ffb514e80ef0812f27081e5),Amul Chocomini Tub,Amul,Kaira Coop Milk Producers (Anand),7,"Biscuits, Snacks & Chocolates",96,12.84,10.7,120,107.16,20,18,250g,Y,,https://images-na.ssl-images-amazon.com/images/I/51TiMR9LOqL.jpg,https://images-na.ssl-images-amazon.com/images/I/51W2GRYY5kL.jpg
ObjectId(5ffb514e80ef0812f27081e6),Amul Dark Passion Choc Wafers ,Amul,Kaira Coop Milk Producers (Anand),10,"Biscuits, Snacks & Chocolates",160,40,20,200,160,20,18,300g,Y,,,https://www.amul.com/products/amul-dark-passion-waferbar-info.php
ObjectId(5ffb514e80ef0812f27081e7),Amul SugarFree Dark Chocolate ,Amul,Kaira Coop Milk Producers (Anand),10,"Biscuits, Snacks & Chocolates",100,25,20,125,100,20,18,150g,Y,,https://images-na.ssl-images-amazon.com/images/I/91EqeXriEEL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/81IBW9geZJL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f27081e8),Amul Milk Chocolate  HBD pack,Amul,Kaira Coop Milk Producers (Anand),10,"Biscuits, Snacks & Chocolates",80,20,20,100,80,20,18,150g,Y,,,https://images-na.ssl-images-amazon.com/images/I/41MBSB8HNZL.jpg
ObjectId(5ffb514e80ef0812f27081e9),Amul Venezuela Chocolate ,Amul,Kaira Coop Milk Producers (Anand),5,"Biscuits, Snacks & Chocolates",120,30,20,150,120,20,18,125g,Y,,https://images-na.ssl-images-amazon.com/images/I/81VkYsQhkfL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/51sta5GypLL.jpg
ObjectId(5ffb514e80ef0812f27081ea),Amul Tanzania Chocolate ,Amul,Kaira Coop Milk Producers (Anand),5,"Biscuits, Snacks & Chocolates",120,30,20,150,120,20,18,125g,Y,,https://images-na.ssl-images-amazon.com/images/I/91k1tn8AqPL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/81x98fBXKfL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f27081eb),Amul Peru Chocolate ,Amul,Kaira Coop Milk Producers (Anand),5,"Biscuits, Snacks & Chocolates",120,30,20,150,120,20,18,125g,Y,,,https://images-na.ssl-images-amazon.com/images/I/319WSjEeG0L.jpg
ObjectId(5ffb514e80ef0812f27081ec),Amul Bitter 90% Chocolate ,Amul,Kaira Coop Milk Producers (Anand),10,"Biscuits, Snacks & Chocolates",100,25,20,125,100,20,18,150g,Y,,https://images-na.ssl-images-amazon.com/images/I/91RilF10yiL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/81At1L42PdL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f27081ed),Amul Green-T chocolate ,Amul,Kaira Coop Milk Producers (Anand),10,"Biscuits, Snacks & Chocolates",100,25,20,125,100,20,18,150g,Y,,https://images-na.ssl-images-amazon.com/images/I/71Dh55OKeLL._SL1200_.jpg,https://images-na.ssl-images-amazon.com/images/I/71PZDcvEgXL._SL1200_.jpg
ObjectId(5ffb514e80ef0812f27081ee),Amul Chocolate Syrup ,Amul,Kaira Coop Milk Producers (Anand),9,"Biscuits, Snacks & Chocolates",52,13,20,65,52,20,18,250g,Y,,,https://images-na.ssl-images-amazon.com/images/I/21XSe3Ab39L.jpg
ObjectId(5ffb514e80ef0812f27081ef),Amul Ivory Coast Chocolate ,Amul,Kaira Coop Milk Producers (Anand),10,"Biscuits, Snacks & Chocolates",120,30,20,150,120,20,18,125g,Y,,,https://images-na.ssl-images-amazon.com/images/I/71mp%2BhQk4BL._SL1200_.jpg
ObjectId(5ffb514e80ef0812f27081f0),Amul INDIA origin MILK Chocolate ,Amul,Kaira Coop Milk Producers (Anand),10,"Biscuits, Snacks & Chocolates",120,30,20,150,120,20,18,125g,Y,,,https://grofers.com/prn/amul-india-twilight-tryst-single-origin-milk-chocolate/prid/425621
ObjectId(5ffb514e80ef0812f27081f1),Amul 99% CACAO CHOCOLATE,Amul,Kaira Coop Milk Producers (Anand),10,"Biscuits, Snacks & Chocolates",120,30,20,150,120,20,18,125g,Y,,https://images-na.ssl-images-amazon.com/images/I/8187bPzzuRL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/61oeeFMSVcL._SL1252_.jpg
ObjectId(5ffb514e80ef0812f27081f2),Amul Sugar Free Dark Chocolate ,Amul,Kaira Coop Milk Producers (Anand),5,"Biscuits, Snacks & Chocolates",24,5.01,16.7,30,24.99,20,18,35g,N,,,https://images-na.ssl-images-amazon.com/images/I/41YskDcEa0L.jpg
ObjectId(5ffb514e80ef0812f27081f3),Amul Dark Chocolate ,Amul,Kaira Coop Milk Producers (Anand),5,"Biscuits, Snacks & Chocolates",20,4.175,16.7,25,20.825,20,18,40g,N,,,https://images-na.ssl-images-amazon.com/images/I/416KQhbAMTL.jpg
ObjectId(5ffb514e80ef0812f27081f4),,,,,,,,,,,,,,,,,https://www.bigbasket.com/media/uploads/p/xxl/100006128_2-amul-fruit-n-nut-chocolate.jpg
ObjectId(5ffb514e80ef0812f27081f5),Amul Fruit N Nut Chocolate ,Amul,Kaira Coop Milk Producers (Anand),5,"Biscuits, Snacks & Chocolates",24,5.01,16.7,30,24.99,20,18,40g,N,,https://www.bigbasket.com/media/uploads/p/xxl/100006128-2_10-amul-fruit-n-nut-chocolate.jpg,https://www.bigbasket.com/media/uploads/p/xxl/100006128_2-amul-fruit-n-nut-chocolate.jpg
ObjectId(5ffb514e80ef0812f27081f6),Amul INDIA origin DARK Chocolate ,Amul,Kaira Coop Milk Producers (Anand),10,"Biscuits, Snacks & Chocolates",120,30,20,150,120,20,18,125g,Y,,,https://images-na.ssl-images-amazon.com/images/I/410-pHxgwFL.jpg
ObjectId(5ffb514e80ef0812f27081f7),Amul Hazelnut Chocolate ,Amul,Kaira Coop Milk Producers (Anand),10,"Biscuits, Snacks & Chocolates",160,40,20,200,160,20,18,150g,Y,,https://images-na.ssl-images-amazon.com/images/I/91ev9AMpdCL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/81d7xnJOlRL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f27081f8),Amul Raisin & Almond Milk Choc ,Amul,Kaira Coop Milk Producers (Anand),10,"Biscuits, Snacks & Chocolates",160,40,20,200,160,20,18,150g,Y,,https://images-na.ssl-images-amazon.com/images/I/81y6fEfHr6L._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/81NF6ClBd-L._SL1500_.jpg
