name,Product Name Alternative,brand,manufacturer,PriorityIndex,category,sp,margin,margin%,mrp,DealerPrice,discount,gst,weight,availability,description,imageUrl,productImageUrl
Dettol Original Germ Protection Handwash Liquid Soap Jar,,Dettol,Reckitt Benckiser,7,Personal Care,119,,10,149,134.1,20%,18%,900 ml,Y,Daily Protection: Dettol Original Germ Protection Handwash Liquid Soap provides protection from a range of germs. Moisturizes: TTC & Triclosan free formula with added Glycerin to moisturize skin. Healthy Skin: Contains more than 85% naturally derived ingredients and plant derived cleansers. Softly Fragrant: Classic Dettol pine fragrance to keep your hands fresh all day long. Dermatologically Tested: Deeply cleanses and protects your skin from 100 illness-causing germs.,,https://images-na.ssl-images-amazon.com/images/I/51OvecJapWL._SL1000_.jpg
Dettol Original Germ Protection Handwash Liquid Soap Pump,,Dettol,Reckitt Benckiser,7,Personal Care,63,,10,79,71.1,20%,18%,200 ml,Y,Daily Protection: Dettol Original Germ Protection Handwash Liquid Soap provides protection from a range of germs. Moisturizes: TTC & Triclosan free formula with added Glycerin to moisturize skin. Healthy Skin: Contains more than 85% naturally derived ingredients and plant derived cleansers. Softly Fragrant: Classic Dettol pine fragrance to keep your hands fresh all day long. Dermatologically Tested: Deeply cleanses and protects your skin from 100 illness-causing germs.,,https://images-na.ssl-images-amazon.com/images/I/616XUIwvAzL._SL1000_.jpg
Dettol Skincare Germ Protection Handwash Liquid Soap Jar,,Dettol,Reckitt Benckiser,7,Personal Care,119,,10,149,134.1,20%,18%,900 ml,Y,Daily Protection: Dettol Skincare Germ Protection Handwash Liquid Soap provides protection from a range of germs. Moisturizes: TTC & Triclosan free formula with added Glycerin to moisturize skin. Healthy Skin: Contains more than 85% naturally derived ingredients and plant derived cleansers. Softly Fragrant: Classic Dettol pine fragrance to keep your hands fresh all day long. Dermatologically Tested: Deeply cleanses and protects your skin from 100 illness-causing germs.,,https://images-na.ssl-images-amazon.com/images/I/51bFA3M5IeL._SL1000_.jpg
Dettol Skincare Germ Protection Handwash Liquid Soap Pump,,Dettol,Reckitt Benckiser,7,Personal Care,63,,10,79,71.1,20%,18%,200 ml,Y,Daily Protection: Dettol Skincare Germ Protection Handwash Liquid Soap provides protection from a range of germs. Moisturizes: TTC & Triclosan free formula with added Glycerin to moisturize skin. Healthy Skin: Contains more than 85% naturally derived ingredients and plant derived cleansers. Softly Fragrant: Classic Dettol pine fragrance to keep your hands fresh all day long. Dermatologically Tested: Deeply cleanses and protects your skin from 100 illness-causing germs.,,https://images-na.ssl-images-amazon.com/images/I/61TTEKavLNL._SL1000_.jpg
Kohinoor dotted condoms (Juicy Strawberry) 10 pcs,,Kohinoor,Reckitt Benckiser,7,Personal Care,72,,20,90,72,20%,0,10 pcs,Y,Durex like quality at economical price,,https://cdn.shopify.com/s/files/1/0072/3681/2858/products/Durex-Kohinoor-Condoms_-Juicy-Strawberry--10s_0198b4c4-ad0b-4015-86ab-952a6de21355_590x.jpg?v=1573632503
Kohinoor dotted condoms (Silky Chocolate) 10 pcs,,Kohinoor,Reckitt Benckiser,7,Personal Care,72,,20,90,72,20%,0,10pcs,Y,Durex like quality at economical price,,https://images-na.ssl-images-amazon.com/images/I/71bXgW6pBZL._SL1150_.jpg
Kohinoor dotted condoms (Meetha Pan) 10 pcs,,Kohinoor,Reckitt Benckiser,7,Personal Care,72,,20,90,72,20%,0,10pcs,Y,Durex like quality at economical price,,https://images-na.ssl-images-amazon.com/images/I/61X0Fo1nCeL._SL1000_.jpg
Kohinoor dotted condoms (Kala Khatta) 10 pcs,,Kohinoor,Reckitt Benckiser,7,Personal Care,72,,20,90,72,20%,0,10pcs,Y,Durex like quality at economical price,,https://images-na.ssl-images-amazon.com/images/I/61qaQK5gupL._SL1000_.jpg
Dermi Cool Talcum Powder- Regular Menthol,,Dermi Cool,Reckitt Benckiser,7,Personal Care,94,,12,117,93.6,20%,18%,150g,Y,Long lasting cooling relief from prickling heat,,https://images-na.ssl-images-amazon.com/images/I/41VTWHfvd3L._SY355_.jpg
Dermi Cool Talcum Powder- Soothing Lavender,,Dermi Cool,Reckitt Benckiser,7,Personal Care,94,,12,117,93.6,20%,18%,150g,Y,Long lasting cooling relief from prickling heat,,https://images-na.ssl-images-amazon.com/images/I/81rCLO6xrUL._SL1500_.jpg
