name,Product Name Alternative,brand,manufacturer,PriorityIndex,category,sp,margin,margin%,mrp,DealerPrice,discount,gst,weight,availability,description,imageUrl,productImageUrl
"Dettol After Detergent Wash Liquid Laundry Sanitizer, Spring Blossom",,Dettol,Reckitt Benckiser,6,Household Items,136,,10,170,153,20%,18%,480 ml,Y,"Laundry Sanitizer hygienically cleans your clothes, Clothes conditioner that eliminates odor-causing bacteria. Suitable for all fabrics and clothes; Gentle on clothes laundry liquid for effective protection. This can be used with any washing machine detergent or washing powder - Surf excel matic Top load, Surf excel matic Front load, Ariel Matic Top load, Ariel Matic Front load, Tide etc. The laundry liquid sanitizer is recommended by Indian Medical Association (IMA). The clothes conditioner is gentle on clothes and freshens them with a delightful fresh linen fragrance.",,https://images-na.ssl-images-amazon.com/images/I/51YMZK647GL._SL1000_.jpg
Gaviscon,,Gaviscon,Reckitt Benckiser,6,Personal Care,108,,10,135,120.75,20%,18%,150 ml,Y,"Releives Heartburn and indigestion in just 3 mins. Application/Dosage : As mentioned in the pack. Each 10ml of oral suspension contains 500mg sodium alginate, 267mg sodium bicarbonate and 160mg calcium carbonate as the active ingredients.",,https://images-na.ssl-images-amazon.com/images/I/71Qnv0FxiIL._SL1500_.jpg
Dettol lather shaving cream,,Dettol,Reckitt Benckiser,6,Personal Care,60,,10,75,67.5,20%,18%,1 unit,Y,"Trusted Dettol Protection; 10 X better versus ordinary shaving products. Formulated to provide a close and comfortable shave. Creates a smooth creamy lather for smooth shave. Prevents nicks, cuts and razor burns from infection. Recommended by the Indian Medical Association.",,https://images-na.ssl-images-amazon.com/images/I/51oGREdD6iL._SL1000_.jpg
Dettol Cool Shaving Cream,,Dettol,Reckitt Benckiser,6,Personal Care,60,,10,75,67.5,20%,18%,1 unit,Y,"Trusted Dettol Protection; 10 X better versus ordinary shaving products. Formulated to provide a close and comfortable shave. Creates a smooth creamy lather for smooth shave. Prevents nicks, cuts and razor burns from infection. Recommended by the Indian Medical Association.",,https://images-na.ssl-images-amazon.com/images/I/51RpSpT79ML._SL1000_.jpg
Dettol Kitchen Dish and Slab Gel (Lemon Fresh),,Dettol,Reckitt Benckiser,6,Personal Care,169,,10,211,189.9,20%,18%,750 ml,Y,Trusted Dettol formula; Protects from 100 illness causing germ. Cleans and disinfects dishes and multiple kitchen surfaces. Dermatologically tested; Safe on hands. Fresh and pleasant lemon fragnance for stronger action. Recommended by the Indian Medical Association.,,https://images-na.ssl-images-amazon.com/images/I/51-cZ-8tvoL._SL1000_.jpg
Dettol Kitchen Dish and Slab Gel (Lemon Fresh),,Dettol,Reckitt Benckiser,6,Personal Care,105,,10,131,117.9,20%,18%,400 ml,Y,Trusted Dettol formula; Protects from 100 illness causing germ. Cleans and disinfects dishes and multiple kitchen surfaces. Dermatologically tested; Safe on hands. Fresh and pleasant lemon fragnance for stronger action. Recommended by the Indian Medical Association.,,https://m.media-amazon.com/images/I/51t9j2bO2XL._SL1000_.jpg
"Dettol Cambridge N95 Mask for Protection from Virus, Bacteria, Pollution – Reusable, Washable, with Breathing Valve (Black)",,Dettol,Reckitt Benckiser,9,Personal Care,1759,,20,2199,1759.2,20%,0%,1,Y,"Dettol Cambridge N95 mask filters over 95 percent of viruses, bacteria, pollution, and PM 2.5. Washable and reusable, average life of up to 45 days. Breathing valve and adjustable earloops for added comfort.",,https://images-na.ssl-images-amazon.com/images/I/61iB80stboL._SL1000_.jpg
Dettol & Moms Bathing Soap Sandal Pack of 4,,Dettol,Reckitt Benckiser,6,Personal Care,96,,8,120,110.4,20%,18%,75 gm,Y,"Zero % Parabens, Zero % Talc and Zero % Artificial Dyes. Ingredients approved by moms. 100% Better Protection. Free from harsh residue. Fragrance infused with 100% sandal essence",,https://images-na.ssl-images-amazon.com/images/I/61285ejx1oL._SL1000_.jpg
Dettol & Moms Bathing Soap Citrus Pack of 4,,Dettol,Reckitt Benckiser,6,Personal Care,156,,8,195,179.4,20%,18%,125 gm,Y,"Zero % Parabens, Zero % Talc and Zero % Artificial Dyes. Ingredients approved by moms. 100% Better Protection. Free from harsh residue. Fragrance infused with 100% citrus essence.",,https://images-na.ssl-images-amazon.com/images/I/61Tjp4v0%2BpL._SL1000_.jpg
Dettol & Moms Bathing Soap Citrus Pack of 4,,Dettol,Reckitt Benckiser,6,Personal Care,96,,8,120,110.4,20%,18%,75 gm,Y,"Zero % Parabens, Zero % Talc and Zero % Artificial Dyes. Ingredients approved by moms. 100% Better Protection. Free from harsh residue. Fragrance infused with 100% citrus essence.",,https://images-na.ssl-images-amazon.com/images/I/612LhJzFBbL._SL1000_.jpg
Dettol Original Germ Protection Bathing Soap bar Buy 4 Get 1 Free,,Dettol,Reckitt Benckiser,6,Personal Care,166,,8,208,191.36,20%,18%,125 gm,Y,Daily Protection: Dettol Bathing soap bar provides protection from a range of germs. Germ Protection: Deeply cleanses and protects your skin from 100 illness-causing germs. Healthy Skin: Contains more than 80% naturally derived ingredients and glycerin to keep skin moisturized and healthy. Doctor Recommended: All Dettol products are recommended by Indian Medical Association (IMA).,,https://images-na.ssl-images-amazon.com/images/I/61R9Fg4UGmL._SL1000_.jpg
Dettol Original Germ Protection Bathing Soap bar Pack of 4,,Dettol,Reckitt Benckiser,6,Personal Care,79,,8,99,91.1,20%,18%,75 gm,Y,Daily Protection: Dettol Bathing soap bar provides protection from a range of germs. Germ Protection: Deeply cleanses and protects your skin from 100 illness-causing germs. Healthy Skin: Contains more than 80% naturally derived ingredients and glycerin to keep skin moisturized and healthy. Doctor Recommended: All Dettol products are recommended by Indian Medical Association (IMA).,,https://images-na.ssl-images-amazon.com/images/I/61I1nJx3ziL._SL1000_.jpg
